user,text,latitude,longitude
JCQian,"Reunited! @ Washington, District of Columbia https://t.co/LSiZEu2OYZ",38.8951,-77.0367
DMVHEAT1,dmvheat1 ?Check Out @DAREtob_DIFFRNT? https://t.co/sDyuAKEsyw,38.9682,-76.979
DMVHEAT1,dmvheat1 ?proud to announce that DMVHEAT? https://t.co/qCLvn9WVZV,38.91146,-76.98841
SaintCharlesMD,"broken clouds -&gt; clear sky
temperature up 75?F -&gt; 80?F
humidity down 60% -&gt; 45%",38.6,-76.94
DMVHEAT1,dmvheat1 ?proud to announce that DMVHEAT NETWORK will be working? https://t.co/Ki9qXP7CK9,38.91146,-76.98841
DMVHEAT1,dmvheat1 ?Check Out @DAREtob_DIFFRNT full video on https://t.co/gHVCopbRdN? https://t.co/NYJQlWQQzI,38.9682,-76.979
DMVHEAT1,dmvheat1 S/O @TheMastermind26 for this ???? he is also ???????C.E.O. of? https://t.co/9s8QMyH3HE,38.9339,-76.8967
tmj_bal_pharm,"See our latest #Baltimore, MD #job and click to apply: Pharmacy Technician Supervisor (Pediatrics) -? https://t.co/3e6GtYpERN",39.2968969,-76.5921777
revc88,Join me in congratulating the amazing? https://t.co/0jI6m3KXYo,38.92314,-77.02158
TotalTrafficBWI,"Accident, shoulder blocked in #Pikesville on I-695 Inner Loop at Greenspring Ave, stop and go traffic back to Park Heights Ave #traffic",39.39577,-76.68796
tmj_VAW_ins,"Can you recommend anyone for this #job? Auto Damage Trainee- Chantilly, VA - https://t.co/TfMqR2vMAr? https://t.co/X3UUh8hSOO",38.8942786,-77.4310992
tmj_was_recruit,"Interested in a #job in #Washington, DC? This could be a great fit: https://t.co/RdPbukWOnD #BoozAllen #Recruiting? https://t.co/IUM8Duub5C",38.9071923,-77.0368707
bigpeteward,It is fashionable to speak of ?The Government? as though it were? https://t.co/nbAsWmHGjX,38.88973011,-77.00703621
tmj_vaf_realest,"This #job might be a great fit for you: IT Property Manager - https://t.co/HKT1gDs8KM #RealEstate #Chantilly, VA #Hiring #CareerArc",38.8778053,-77.4660909
kewanlewis23,My Breakfast!! Oxtails n Cabbage!! #foodporn @ Frederick Historic? https://t.co/GfYA6eaE1i,39.4147,-77.4119
tmj_VAW_secure,"See our latest #Hamilton, VA #job and click to apply: Security Officer - https://t.co/vtFLu6nKWK #corrections #Hiring #CareerArc",39.1292809,-77.665066
DJPLC0900,"DJ PLC ?????????
#DJPLC #DJPLC10 #PLC #LOVERNIGHTSHOW #FANTASTICSHOW? https://t.co/rxNfqO4QY5",38.80472222,-77.04722222
EldersburgMD,"temperature up 70?F -&gt; 77?F
humidity down 73% -&gt; 54%
wind 6mph -&gt; 7mph",39.4,-76.95
tmj_MD_banking,Want to work in MD? View our latest opening: https://t.co/bU0oPJ5FJU #Banking #Job #Jobs #Hiring #CareerArc,39.0457549,-76.6412712
tmj_dc_usa_jobs,"See our latest #RiverdalePark, MD #job and click to apply: Office Manager - https://t.co/pFcxSLMkba #Hiring #CareerArc",38.963444,-76.9316408
NortheastBmore,Saturday 5/19 at aadurihealingarts! Space is limited so register at? https://t.co/JMv9QdMgze,39.3432655,-76.5683975
tmj_njc_hrta,"Can you recommend anyone for this #job in #Philadelphia, DE? https://t.co/BmNzwT3Uen #Hospitality #Hiring #CareerArc",39.7473556,-75.5512311
MixMastaB,Willy hanging out in the dugout at #citizensbankpark #Phillies @? https://t.co/3o160asupc,39.90585946,-75.16648423
HMSHostCareers,"Want to work in #Lawn, PA? View our latest opening: https://t.co/6U3G0ui0r8 #barista #Barista #Job #Jobs #Hiring",40.2200931,-76.5391346
mohammedalnazal,"...
???? @mohammedalnazal beard ????...
Taken care of by @mtneerbrand &amp;? https://t.co/iL9R67mU82",40.24972222,-76.94138889
DempseyCareers,Can you recommend anyone for this #job? Light Production Associate - Great 1st Shift Schedule -? https://t.co/gE7eprQEMs,40.874998,-76.7888817
object82,8f82957e00p825F,39.9611,-75.9173
jayginsberg,I would love to show you my #listing at 1761 Kellers Church Rd #Perkasie #PA  #realestate https://t.co/ufqyvlTI8v https://t.co/fI6Q6gBf53,40.4533675,-75.2210556
MixMastaB,Thanks for the selfie @AlexaDatt! Now I can say I have a selfie with? https://t.co/eAjSU2hxW8,39.90585946,-75.16648423
doubledeckerrec,#ironmaiden #purplelabel #heavymetal @ Double Decker Records https://t.co/T9euDgVg5d,40.5911199,-75.46922
_coelhofelipe,??: brazilian_giirl @ Six Flags Great Adventure https://t.co/6BPxHmZ8xM,40.13852702,-74.43931614
KristinLuciano,"A clean and simple bridal makeup for the lovely, Sarah! She?s? https://t.co/Cfk7saUnGk",40.71774888,-74.57057889
BillScottBJJ,MUAY THAI Training with KRU TOMMY DOWD tonight 8pm! FREE 2 Weeks????? https://t.co/I0xH9hI4Gd,40.0796,-74.0704
VictorGreboide,"But I forgot my headphones! ?? (@ New York Sports Club - @nysc in New York, NY) https://t.co/2fiQqVeIB7",40.74889491,-73.98246602
elikarealestate,"On set, hard at work. #realestate #nyc #nycphotographer #westvillage? https://t.co/n4dSH5Q96d",40.7358,-74.0036
ChandlerSAF,The Elephant and the Rider | #ChansLogic Ep 050  https://t.co/rSxVDHoMs5,40.7207559,-74.0007613
ConEspuma,"Conociendo el cl?sico peterlugersteakhouse !!??????
.
.
#steak? https://t.co/m9wJ6pkYPh",40.70991,-73.96265
SantilloPizza,Top that @ Al Santillo's Brick Oven Pizza https://t.co/XduNxc58Id,40.64898,-74.21672
preedollars5050,Available on all major music outlets link in bio #itunes #applemusic? https://t.co/jbeYNbRDjE,40.68333333,-73.94111111
tmj_NAS_socmed,"Want to work in #Norwalk, CT? View our latest opening: https://t.co/TNTkqcpNla #SocialMedia #Job #Jobs #Hiring #CareerArc",41.1512939,-73.4256944
TMTCASHFLOW,Got to meet @VasylLomachenko yesterday. My money is on him!? https://t.co/Xs09gquuLd,40.75091912,-73.9941698
BCD_PLANET,@teyanataylor ugggg like ever since ?google me? Day you are forever? https://t.co/af64vbI06U,40.75839,-73.98644
rEDhANDEDiMAGE2,#Networking #IWriteForTV #Screenplays? https://t.co/BxQrInPkin,40.80664,-73.94182
waynewilcox,#be #more #specific @ New 42nd Street Studios https://t.co/0YNsGl66Lk,40.7567499,-73.98819
chizog,"I'm at @QuickChek in Hackensack, NJ https://t.co/uu73en2rFW",40.90254784,-74.04172482
terroirNY,#snappea #salad #feta #tribeca #menu #new @ Terroir https://t.co/Y0ftd2KjnX,40.71885,-74.00998
lettrship,#Signrs helps me #getreal  https://t.co/W8EFhOMshG https://t.co/bwvTv4Bklm,40.76365662,-73.97068787
andersjivarp,"Touristmode!?????? #newyork @ New York, New York https://t.co/hMeFQZYaX6",40.7142,-74.0064
LucasGoossens,"The Gandhi Quote Cuff. What does your jewelry say? @ New York, New York https://t.co/IyKvRX41zx",40.7142,-74.0064
Zephyr_Wellness,Noggin Notes Podcast - An Overview of Rural Mental Health Care (Part III) | Guest Adrienne Sutherland  https://t.co/gjdVi9xMC2,40.7207559,-74.0007613
